Time (s),GPU Power (W),PDU Power (W)
0.0,17.41,88.0
0.2,17.41,88.0
0.3,17.41,94.0
0.5,17.41,94.0
0.6,17.41,94.0
0.8,17.41,94.0
0.9,17.41,92.0
1.0,17.41,92.0
1.2,17.41,92.0
1.3,17.41,89.0
1.5,17.41,89.0
1.6,17.41,89.0
1.7,17.51,89.0
1.9,17.51,90.0
2.0,17.51,90.0
2.2,17.51,90.0
2.3,17.51,94.0
2.5,17.51,94.0
2.6,17.51,94.0
2.7,17.42,94.0
2.9,17.42,93.0
3.0,17.95,93.0
3.2,18.84,93.0
3.3,19.21,91.0
3.5,19.53,91.0
3.6,20.07,91.0
3.7,20.29,91.0
3.9,23.47,96.0
4.0,23.47,96.0
4.2,23.47,96.0
4.3,23.47,98.0
4.5,23.47,98.0
4.6,23.47,98.0
4.7,23.47,98.0
4.9,18.12,93.0
5.0,18.12,93.0
5.2,21.73,93.0
5.3,26.48,85.0
5.5,30.97,85.0
5.6,38.68,85.0
5.7,42.39,85.0
5.9,48.63,171.0
6.0,81.95,171.0
6.2,98.15,171.0
6.3,100.47,204.0
6.5,102.85,204.0
6.6,104.32,204.0
6.8,104.92,204.0
6.9,105.15,206.0
7.1,105.62,206.0
7.2,105.85,207.0
7.4,116.69,207.0
7.5,136.29,207.0
7.6,155.8,207.0
7.8,195.75,207.0
7.9,225.89,335.0
8.1,253.9,335.0
8.2,273.26,445.0
8.4,310.27,445.0
8.5,319.02,445.0
8.6,319.13,445.0
8.8,318.39,445.0
8.9,318.2,440.0
9.1,318.32,440.0
9.2,318.14,443.0
9.4,318.22,443.0
9.5,319.07,443.0
9.6,319.32,443.0
9.8,318.76,443.0
9.9,319.59,437.0
10.1,319.28,437.0
10.2,318.95,445.0
10.4,318.45,445.0
10.5,319.21,445.0
10.6,318.93,445.0
10.8,319.34,445.0
10.9,319.24,440.0
11.1,319.18,440.0
11.2,318.43,444.0
11.4,319.33,444.0
11.5,319.06,444.0
11.6,318.65,444.0
11.8,319.15,444.0
11.9,318.61,439.0
12.1,319.0,439.0
12.2,318.37,439.0
12.4,318.92,439.0
12.5,318.59,442.0
12.6,319.06,442.0
12.8,318.55,442.0
12.9,318.55,442.0
13.1,318.17,442.0
13.2,318.05,442.0
13.4,318.9,442.0
13.5,318.0,443.0
13.6,319.03,443.0
13.8,318.48,443.0
13.9,318.78,444.0
14.1,319.03,444.0
14.2,319.52,444.0
14.4,318.73,444.0
14.5,318.42,441.0
14.6,319.5,441.0
14.8,318.94,441.0
14.9,318.92,440.0
15.1,318.72,440.0
15.2,318.82,440.0
15.4,319.04,440.0
15.5,318.89,443.0
15.7,319.04,443.0
15.8,319.14,443.0
15.9,318.38,442.0
16.1,319.05,442.0
16.2,318.63,442.0
16.4,318.54,442.0
16.5,318.23,443.0
16.7,318.28,443.0
16.8,318.33,443.0
16.9,317.79,442.0
17.1,318.92,442.0
17.2,318.52,442.0
17.4,318.93,442.0
17.5,318.81,440.0
17.7,319.23,440.0
17.8,318.91,440.0
17.9,318.55,441.0
18.1,318.78,441.0
18.2,318.27,441.0
18.4,319.5,441.0
18.5,318.63,438.0
18.7,319.16,438.0
18.8,319.01,440.0
19.0,318.51,440.0
19.1,318.54,440.0
19.2,318.49,440.0
19.4,318.92,440.0
19.5,318.87,437.0
19.7,318.62,437.0
19.8,318.3,441.0
20.0,318.37,441.0
20.1,318.36,441.0
20.2,318.91,441.0
20.4,319.27,441.0
20.5,319.27,437.0
20.7,319.0,437.0
20.8,318.81,445.0
21.0,318.34,445.0
21.1,318.58,445.0
21.3,319.2,445.0
21.4,318.84,445.0
21.5,318.67,441.0
21.7,318.42,441.0
21.9,318.43,444.0
22.0,318.83,444.0
22.1,319.39,444.0
22.3,318.87,444.0
22.4,318.27,444.0
22.6,319.19,444.0
22.7,318.4,444.0
22.9,318.59,442.0
23.0,318.51,442.0
23.1,318.96,442.0
23.3,318.26,442.0
23.4,318.1,442.0
23.6,318.65,443.0
23.7,318.1,443.0
23.9,318.5,444.0
24.0,309.55,444.0
24.1,291.29,444.0
24.3,253.48,444.0
24.4,235.11,444.0
24.6,197.79,250.0
24.7,178.82,250.0
24.9,141.2,196.0
25.0,122.81,196.0
25.1,113.51,196.0
25.3,113.16,196.0
25.4,113.13,196.0
25.6,113.13,194.0
25.7,113.13,194.0
25.8,113.13,194.0
26.0,113.13,194.0
26.1,113.13,194.0
26.3,113.13,194.0
26.4,100.73,194.0
26.6,100.73,177.0
26.7,100.73,177.0
26.8,100.73,171.0
27.0,100.73,171.0
27.1,100.73,171.0
27.3,100.73,171.0
27.4,96.23,171.0
27.6,96.23,176.0
27.7,96.23,176.0
27.8,96.23,174.0
28.0,96.23,174.0
28.1,96.23,174.0
28.3,96.23,174.0
28.4,92.68,174.0
28.6,92.68,173.0
28.7,92.68,173.0
28.8,92.68,172.0
29.0,92.68,172.0
29.1,92.68,172.0
29.3,92.68,172.0
29.4,92.53,172.0
29.5,92.53,171.0
29.7,92.53,171.0
29.8,92.53,178.0
30.0,92.53,178.0
30.1,92.53,178.0
30.3,92.53,178.0
30.4,92.54,178.0
30.5,92.54,174.0
30.7,92.54,174.0
30.8,92.54,178.0
31.0,92.54,178.0
31.1,92.54,178.0
31.3,92.54,178.0
31.4,92.63,178.0
31.5,92.63,172.0
31.7,92.8,172.0
31.8,92.79,178.0
32.0,92.79,178.0
32.1,92.79,178.0
32.3,92.76,178.0
32.4,92.74,178.0
32.5,92.66,179.0
32.7,92.64,179.0
32.8,92.64,174.0
33.0,92.64,174.0
33.1,92.64,174.0
33.2,92.64,174.0
33.4,92.64,174.0
33.5,92.64,177.0
33.7,92.24,177.0
33.8,92.24,177.0
34.0,92.24,177.0
34.1,92.24,177.0
34.2,92.24,177.0
34.4,92.24,177.0
34.5,92.24,178.0
34.7,92.35,178.0
34.8,92.35,172.0
34.9,92.35,172.0
35.1,92.35,172.0
35.2,92.35,172.0
35.4,92.35,172.0
35.5,92.35,173.0
35.7,92.32,173.0
35.8,92.32,173.0
35.9,92.32,173.0
36.1,92.32,177.0
36.2,92.32,177.0
36.4,92.32,177.0
36.5,92.32,177.0
36.7,92.18,177.0
36.8,92.18,177.0
36.9,92.18,177.0
37.1,92.18,176.0
37.2,92.18,176.0
37.4,92.18,176.0
37.5,92.18,169.0
37.6,92.12,169.0
37.8,92.12,169.0
37.9,92.12,169.0
38.1,92.12,174.0
38.2,92.12,174.0
38.4,92.12,174.0
38.5,92.12,172.0
38.6,92.13,172.0
38.8,92.17,172.0
38.9,92.18,172.0
39.1,92.16,177.0
39.2,92.14,177.0
39.3,92.12,177.0
39.5,92.11,171.0
39.6,92.1,171.0
39.8,91.98,171.0
39.9,91.98,171.0
40.1,91.98,169.0
40.2,91.98,169.0
40.4,91.98,169.0
40.5,91.98,176.0
40.6,91.98,176.0
40.8,68.67,176.0
40.9,68.67,176.0
41.1,68.67,110.0
41.2,68.67,110.0
41.3,68.67,110.0
41.5,68.67,95.0
41.6,68.67,95.0
41.8,43.83,95.0
41.9,43.83,95.0
42.1,43.83,93.0
42.2,43.83,93.0
42.3,43.83,93.0
42.5,43.83,99.0
42.6,43.83,99.0
42.8,20.34,99.0
42.9,20.34,99.0
43.1,20.34,93.0
43.2,20.34,93.0
43.3,20.34,93.0
43.5,20.34,91.0
43.6,20.34,91.0
43.8,19.41,91.0
43.9,19.41,91.0
44.1,19.41,91.0
44.2,19.41,91.0
44.3,19.41,91.0
44.5,19.41,93.0
44.6,19.41,93.0
44.8,19.46,93.0
44.9,19.46,93.0
45.0,19.46,97.0
45.2,19.46,97.0
45.3,19.46,97.0
45.5,19.46,92.0
45.6,19.46,92.0
45.8,19.33,92.0
45.9,19.33,92.0
46.0,19.77,91.0
46.2,20.9,91.0
46.3,21.34,91.0
46.5,22.09,103.0
46.6,22.41,103.0
46.7,26.35,103.0
46.9,26.48,103.0
47.0,26.48,104.0
47.2,26.48,104.0
47.3,26.48,104.0
47.5,26.48,99.0
47.6,26.48,99.0
47.8,26.48,99.0
47.9,20.29,99.0
48.0,20.29,91.0
48.2,20.29,91.0
48.3,20.29,91.0
48.5,20.29,96.0
48.6,20.29,96.0
48.7,20.29,96.0
48.9,19.35,96.0
